Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,11,0,0,11
Albania,38,1,0,37
Algeria,37,3,12,22
Andorra,1,0,1,0
Antigua and Barbuda,1,0,0,1
Argentina,34,2,1,31
Armenia,18,0,0,18
Aruba,2,0,0,2
Australia,250,3,23,224
Austria,655,1,6,648
Azerbaijan,15,1,3,11
Bahrain,210,0,44,166
Bangladesh,3,0,0,3
Belarus,27,0,3,24
Belgium,689,4,1,684
Bhutan,1,0,0,1
Bolivia,10,0,0,10
Bosnia and Herzegovina,18,0,0,18
Brazil,151,0,0,151
Brunei,40,0,0,40
Bulgaria,41,2,0,39
Burkina Faso,2,0,0,2
Cambodia,7,0,1,6
Cameroon,2,0,0,2
Canada,196,1,8,187
Cayman Islands,1,0,0,1
Chile,61,0,0,61
China,80977,3193,65660,12124
Colombia,22,0,0,22
Congo (Kinshasa),2,0,0,2
Costa Rica,26,0,0,26
Cote d\'Ivoire,1,0,0,1
Croatia,38,0,1,37
Cruise Ship,696,7,325,364
Cuba,4,0,0,4
Curacao,1,0,0,1
Cyprus,26,0,0,26
Czechia,189,0,0,189
Denmark,836,1,1,834
Dominican Republic,11,0,0,11
Ecuador,28,2,0,26
Egypt,109,2,27,80
Estonia,115,0,0,115
Eswatini,1,0,0,1
Ethiopia,1,0,0,1
Finland,225,0,1,224
France,4480,91,12,4377
French Guiana,5,0,0,5
Gabon,1,0,0,1
Georgia,30,0,0,30
Germany,4585,9,46,4530
Ghana,3,0,0,3
Greece,228,3,8,217
Guadeloupe,1,0,0,1
Guatemala,1,0,0,1
Guernsey,1,0,0,1
Guinea,1,0,0,1
Guyana,1,1,0,0
Holy See,1,0,0,1
Honduras,2,0,0,2
Hungary,30,0,1,29
Iceland,156,0,1,155
India,102,2,4,96
Indonesia,96,5,8,83
Iran,12729,611,2959,9159
Iraq,110,10,26,74
Ireland,129,2,0,127
Israel,193,0,4,189
Italy,21157,1441,1966,17750
Jamaica,8,0,0,8
Japan,773,22,118,633
Jersey,2,0,0,2
Jordan,1,0,1,0
Kazakhstan,6,0,0,6
Kenya,1,0,0,1
"Korea, South",8086,72,510,7504
Kuwait,104,0,5,99
Latvia,26,0,1,25
Lebanon,93,3,1,89
Liechtenstein,4,0,0,4
Lithuania,8,0,0,8
Luxembourg,51,1,0,50
Malaysia,238,0,35,203
Maldives,10,0,0,10
Malta,18,0,1,17
Martinique,9,0,0,9
Mauritania,1,0,0,1
Mexico,26,0,4,22
Moldova,12,0,0,12
Monaco,2,0,0,2
Mongolia,1,0,0,1
Morocco,17,1,1,15
Namibia,2,0,0,2
Nepal,1,0,1,0
Netherlands,959,12,2,945
New Zealand,6,0,0,6
Nigeria,2,0,0,2
North Macedonia,14,0,1,13
Norway,1090,3,1,1086
Oman,19,0,9,10
Pakistan,31,0,2,29
Panama,36,1,0,35
Paraguay,6,0,0,6
Peru,38,0,0,38
Philippines,111,8,2,101
Poland,103,3,0,100
Portugal,169,0,2,167
Qatar,337,0,4,333
Reunion,6,0,0,6
Romania,123,0,9,114
Russia,59,0,8,51
Rwanda,1,0,0,1
Saint Lucia,1,0,0,1
Saint Vincent and the Grenadines,1,0,0,1
San Marino,80,5,4,71
Saudi Arabia,103,0,1,102
Senegal,10,0,1,9
Serbia,46,0,0,46
Seychelles,2,0,0,2
Singapore,212,0,105,107
Slovakia,44,0,0,44
Slovenia,181,1,0,180
South Africa,38,0,0,38
Spain,6391,195,517,5679
Sri Lanka,10,0,1,9
Sudan,1,1,0,0
Suriname,1,0,0,1
Sweden,961,2,1,958
Switzerland,1359,13,4,1342
Taiwan*,53,1,20,32
Thailand,82,1,35,46
Togo,1,0,0,1
Trinidad and Tobago,2,0,0,2
Tunisia,18,0,0,18
Turkey,5,0,0,5
US,2726,54,12,2660
Ukraine,3,1,0,2
United Arab Emirates,85,0,17,68
United Kingdom,1143,21,19,1103
Uruguay,4,0,0,4
Venezuela,2,0,0,2
Vietnam,53,0,16,37
occupied Palestinian territory,0,0,0,0
