Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,1,0,0,1
Algeria,17,0,0,17
Andorra,1,0,0,1
Argentina,2,0,0,2
Armenia,1,0,0,1
Australia,60,2,21,37
Austria,55,0,0,55
Azerbaijan,6,0,0,6
Bahrain,60,0,4,56
Belarus,6,0,0,6
Belgium,109,0,1,108
Bhutan,1,0,0,1
Bosnia and Herzegovina,2,0,0,2
Brazil,13,0,0,13
Cambodia,1,0,1,0
Cameroon,1,0,0,1
Canada,49,0,6,43
Chile,4,0,0,4
Colombia,1,0,0,1
Costa Rica,1,0,0,1
Croatia,11,0,0,11
Czech Republic,18,0,0,18
Denmark,23,0,1,22
Dominican Republic,2,0,0,2
Ecuador,13,0,0,13
Egypt,15,0,1,14
Estonia,10,0,0,10
Faroe Islands,1,0,0,1
Finland,15,0,1,14
France,653,9,12,632
Georgia,4,0,0,4
Germany,670,0,17,653
Gibraltar,1,0,0,1
Greece,45,0,0,45
Hong Kong,107,2,46,59
Hungary,2,0,0,2
Iceland,43,0,0,43
India,31,0,3,28
Indonesia,4,0,0,4
Iran,4747,124,913,3710
Iraq,40,3,0,37
Ireland,18,0,0,18
Israel,21,0,2,19
Italy,4636,197,523,3916
Japan,420,6,46,368
Jordan,1,0,0,1
Kuwait,58,0,0,58
Latvia,1,0,0,1
Lebanon,22,0,1,21
Liechtenstein,1,0,0,1
Lithuania,1,0,0,1
Luxembourg,2,0,0,2
Macau,10,0,10,0
Mainland China,80573,3042,53888,23643
Malaysia,83,0,22,61
Mexico,6,0,1,5
Monaco,1,0,0,1
Morocco,2,0,0,2
Nepal,1,0,1,0
Netherlands,128,1,0,127
New Zealand,4,0,0,4
Nigeria,1,0,0,1
North Macedonia,3,0,0,3
Norway,108,0,0,108
Oman,16,0,2,14
Others,696,6,40,650
Pakistan,6,0,0,6
Palestine,16,0,0,16
Peru,1,0,0,1
Philippines,5,1,1,3
Poland,5,0,0,5
Portugal,13,0,0,13
Qatar,8,0,0,8
Romania,9,0,1,8
Russia,13,0,2,11
Saint Barthelemy,3,0,0,3
San Marino,21,1,0,20
Saudi Arabia,5,0,0,5
Senegal,4,0,0,4
Serbia,1,0,0,1
Singapore,130,0,78,52
Slovakia,1,0,0,1
Slovenia,7,0,0,7
South Africa,1,0,0,1
South Korea,6593,42,135,6416
Spain,400,5,2,393
Sri Lanka,1,0,1,0
Sweden,101,0,0,101
Switzerland,214,1,3,210
Taiwan,45,1,12,32
Thailand,48,1,31,16
Togo,1,0,0,1
Tunisia,1,0,0,1
UK,163,2,8,153
US,278,14,8,256
Ukraine,1,0,0,1
United Arab Emirates,29,0,5,24
Vatican City,1,0,0,1
Vietnam,16,0,16,0
